LANDWARD_SHORETYPE,length_km
10C: Swamps,698.4
"8B: Sheltered, Solid Man-Made Structures",414.0
6B: Riprap,404.6
9B: Vegetated Low Banks,275.7
8C: Sheltered Riprap,257.5
10B: Freshwater Marshes,242.6
"1B: Exposed, Solid Man-Made Structures",193.4
5: Mixed Sand and Gravel Beaches,122.6
6A: Gravel Bars and Gently Sloping Banks,113.1
10D: Scrub and Shrub Wetlands,100.3
"1A: Exposed, Rocky Shores",73.8
3B: Eroding Scarps (Unconsolidated Sediment),47.8
2A: Rocky Shoals and Bedrock Ledges,41.0
2A: Shelving Bedrock Shores,30.7
8A: Sheltered Scarps (Bedrock/Mud/Clay),29.3
5: Mixed Sand and Gravel Bars and Gently Sloping Banks,24.2
4: Sand Beaches,22.8
"8F: Vegetated, Steeply Sloping Bluffs",22.7
"3B: Exposed, Eroding Banks (Unconsolidated Sediment)",21.6
"1A: Exposed, Rocky Banks",21.0
"1C: Exposed, Rocky Cliffs w/Boulder Talus Base",13.9
6A: Gravel Beaches,11.0
4: Sand Bars and Gently Sloping Banks,2.6
9A: Sheltered Sand and Mud Flats,0.3
